Feature ID,Domain,Super_Groups,Super_Kingdom,Kingdom,Phylum,Class,Family,Genus,species
9ab160a7916de9571b98e42b768d6009,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Ulvophyceae,Ulotrichales,Ulotrichales_X,Protoderma,Protoderma_sarcinoidea
6618882e594e13e3fccf824d043beaa7,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
001a376d584cb46c3f64e8f97eb59b1e,Eukaryota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
3f178ba8f71a89a4ffc053404da0fd2c,Eukaryota,TSAR,Stramenopiles,Gyrista,Chrysophyceae,Paraphysomonadales,Paraphysomonadaceae,Paraphysomonas,Paraphysomonas_uniformis
80014134c8ac3a456745eded1f8e70b4,Eukaryota,Amoebozoa,Evosea,Eumycetozoa,Myxogastria_Fuscisporidia,Physarida,Didymiidae,Didymium,Didymium_sp.
8a8dc95107e07bd7efa65dc7308868d8,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
488606cdf8a615063f535bd0c8906536,Eukaryota,Obazoa,Opisthokonta,Metazoa,Rotifera,Rotifera_X,Rotifera_XX,Rotifera_XXX,Rotifera_XXX_sp.
73db510a533a909fd5107a51e9c5bcb9,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyceae,Unassigned,Unassigned,Unassigned,Unassigned
feb12dc18265f45548f5b9b167d5f651,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1c9439ade29bf90ea8bf58e4bd201e11,Eukaryota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
10bc8d466c1980a5bad61ab0fbb0e6db,Eukaryota,Archaeplastida,Streptophyta,Streptophyta_X,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Unassigned,Unassigned
742921b84cc1558c1197844583754980,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
38d74e31e7fc1ce8c85ce77294e359b8,Eukaryota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
26afb92ed9e293bccfb8cbdc61cec7ab,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
dfa8613e583e3377af0aefa5c03d8455,Eukaryota,TSAR,Alveolata,Ciliophora,Colpodea,Colpodea_X,Sandmanniellidae,Sandmanniella,Unassigned
5300dca402f1242aa56fb2c0fc2a20ae,Eukaryota,Obazoa,Opisthokonta,Fungi,Basidiomycota,Pucciniomycotina,Cystobasidiomycetes,Unassigned,Unassigned
7f443af1e0a1ee8f3398f16505a5a268,Eukaryota,Obazoa,Opisthokonta,Metazoa,Rotifera,Rotifera_X,Rotifera_XX,Brachionus,Brachionus_calyciflorus
76e2c52f62e0b2ef642abf5987ba3a02,Eukaryota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
04b7fa24c9c5db5da9bf7d701a8e4c2a,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
d74dde8625f283cd3e030ff2f233bf0c,Eukaryota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
842987e0383a235e558c006a08cac509,Eukaryota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
6aa9b9aa4b14ade56f85714ec8837bda,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
